Borough,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bronx,1278.47,1522.17,1394.64,1373.63,1488.07,1609.03,1710.52,1807.15,1856.47,1881.45
Brooklyn,2048.54,2131.77,2214.55,2273.74,2358.36,2450.28,2409.75,2460.76,2559.61,2504.67
Manhattan,3195.9,3279.16,3311.67,3337.52,3454.23,3582.22,3464.87,3495.59,3636.25,3365.11
Queens,1616.86,1862.97,1824.37,1841.41,1902.98,1991.14,2071.03,2087.56,2095.84,2106.85
Staten Island,,1562.86,1614.67,1652.17,1690.08,1988.75,1927.58,1884.58,2018.0,1946.0
