areaName,Borough,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
College Point,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2200,2200,2110,2175,#DIV/0!
Columbia St Waterfront District,Brooklyn,2363.888889,2672.727273,2939.583333,2639.416667,2709.416667,2911.333333,2673.916667,2812.5,2888.583333,2756.833333
Concourse,Bronx,1270.25,1354.083333,1456.5,1444.083333,1487.083333,1564.166667,1627.666667,1748.75,1740.5,1779.666667
Coney Island,Brooklyn,#DIV/0!,1637.5,1696,1870.666667,2005.583333,2146.166667,2160.083333,2208.333333,2205.75,2305.666667
Corona,Queens,986.3636364,#DIV/0!,#DIV/0!,1521.444444,1628.25,1830.833333,1858.833333,2006.083333,2115.166667,1879.25
Country Club,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Crotona Park East,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2039.142857,2060.571429
Crown Heights,Brooklyn,1689.083333,1914.583333,2117.333333,2228.833333,2299.5,2390.333333,2368.916667,2446.083333,2506.416667,2450
DUMBO,Brooklyn,3872.916667,4067.833333,3838.416667,4119.166667,4216.583333,4472.083333,4487.666667,4421.333333,4676.416667,4575.333333
Ditmas Park,Brooklyn,1622.333333,1679,1739.583333,1789.083333,1958.166667,1946.333333,2015.25,2122.75,2244.5,2137.833333
Douglaston,Queens,#DIV/0!,#DIV/0!,2481.25,1500,#DIV/0!,#DIV/0!,2400,#DIV/0!,#DIV/0!,2400
Downtown Brooklyn,Brooklyn,2509.25,2710.583333,2913,3026.916667,3192.75,3127.5,3139.833333,3355.083333,3463.916667,3158.75
Dyker Heights,Brooklyn,1363.636364,1500,1376,1712.5,1910.416667,2119,2061.5,2057.333333,2019.416667,2102.083333
East Brooklyn,Brooklyn,1681.666667,1814.416667,2101.583333,2269.583333,2382.333333,2440.833333,2423,2488.25,2554.916667,2478.083333
East Elmhurst,Queens,#DIV/0!,#DIV/0!,#DIV/0!,2125,#DIV/0!,#DIV/0!,#DIV/0!,2436.5,#DIV/0!,2224
East Flatbush,Brooklyn,1712.166667,1577.833333,1528.333333,1618.833333,1663.75,1868.083333,1993.333333,2150.25,2141.833333,2173.583333
East Harlem,Manhattan,1948.833333,2091.833333,2134.916667,2092.5,2239.5,2344.25,2368.25,2296.916667,2401.166667,2317
East New York,Brooklyn,#DIV/0!,1377.166667,1482.181818,1622,1765.416667,1941.666667,1987,2137,2158.333333,2180.25
East Tremont,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,1257.285714,1521.25,1523.6,1698,1799.818182,1731.8,1770.222222
East Village,Manhattan,2840,2972.916667,3111.083333,3115.666667,3094.416667,3171.083333,3133,3233.333333,3355.916667,3026.583333
Eastchester,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Edenwald,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Elmhurst,Queens,1300,1776,1921.583333,1814.083333,1844.583333,1824.833333,1973,1916.666667,1961.833333,1943.916667
Financial District,Manhattan,3433.25,3562.666667,3468.25,3523.75,3617.75,3584.666667,3616.5,3663.916667,3769.833333,3428.25
Flatbush,Brooklyn,1384.416667,1392.6,1541.916667,1658.416667,1811.416667,1889.333333,1982.083333,2082.5,2219.416667,2236.5
Flatiron,Manhattan,4126.25,4198.416667,4176.833333,4476.333333,4904.25,4768,4645.5,4613.5,4938.916667,4326.333333
Flatlands,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1800,2116.666667,1967.857143,2099.571429,2144
Floral Park,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Flushing,Queens,1328.916667,1461.333333,1645.75,1795.333333,1777.083333,1995.333333,2069.833333,1922.833333,1914.583333,2029.583333
Fordham,Bronx,#DIV/0!,1137.5,#DIV/0!,1222.5,1368.583333,1495.5,1737.833333,1803.833333,1768.666667,1699.916667
Forest Hills,Queens,1889.75,1942.916667,1914.166667,2068.333333,2150.083333,2171.083333,2073.75,2018.583333,2124.333333,2041.083333
Fort Greene,Brooklyn,2518.75,2621.5,2722.083333,2710.916667,2823.75,2805.916667,2842.25,2859.666667,3160.833333,3005.416667
Fresh Meadows,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2129.166667,#DIV/0!,2188,#DIV/0!
Gerritsen Beach,Brooklyn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Glen Oaks,Queens,#DIV/0!,1850,1788,1759.5,#DIV/0!,#DIV/0!,#DIV/0!,2000,#DIV/0!,2113
Glendale,Queens,#DIV/0!,1546.428571,1408.5,1629.181818,1849.75,1936.666667,2033.083333,2068.666667,2135.333333,2212.083333
Gowanus,Brooklyn,2895.583333,2486,2940.666667,3145,3172.5,3149.916667,2901.166667,2924.833333,3065.666667,2860.75
Gramercy Park,Manhattan,3207.083333,3365.666667,3424.25,3364.833333,3526.666667,3572,3452.916667,3568,3930.5,3446.666667
Gravesend,Brooklyn,1349.3,1404.9,1477.583333,1502,1696.5,1815.666667,1789.833333,1794.5,1793.25,1822.083333
Greenpoint,Brooklyn,2355.833333,2520.833333,2706.083333,2824.75,2684.416667,2802.75,2777.916667,2800.416667,3030.416667,2939.166667
Greenwich Village,Manhattan,3525.916667,3699.833333,3565.166667,3694.25,3789.166667,3863.75,3659.083333,3725.083333,4097.166667,3534.666667
Greenwood,Brooklyn,2122.5,2051.75,2158.333333,2150,2235,2206.25,2318.333333,2456.083333,2424.166667,2366.666667
Hamilton Heights,Manhattan,1981.333333,2035.833333,2092.75,2182.166667,2380.833333,2380.083333,2413.75,2428.833333,2482.25,2437.5
Highbridge,Bronx,#DIV/0!,#DIV/0!,1248,1493.75,1441.636364,1698.727273,1743.583333,1851.083333,1854.25,1873.166667
Hillcrest,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2435,3325,2790,2900
Hollis,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Howard Beach,Queens,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1400,#DIV/0!,1958.333333,1950,#DIV/0!,#DIV/0!
Hunts Point,Bronx,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1808.333333,1625,#DIV/0!,#DIV/0!
Inwood,Manhattan,1549.083333,1488.083333,1597,1677.333333,1849.166667,1849,1830.166667,1913.75,1979.25,1961.25
Jackson Heights,Queens,1403.888889,1540.833333,1583.166667,1706.25,1780.083333,1850.5,1872.916667,1888.333333,1948.5,1973.25
Jamaica,Queens,1525,1736.428571,1632.333333,1757,1691.8,1900.6,1988.75,2131.75,2160.666667,2102.916667
